ConsignDetailID,ConsignID,InvoiceNo,description,articleNo,article,weight,chargeWeight,rateType,rate,freight,InvoiceValue,GRNDate,GRNNo
392631,290555,NULL,Alu Housing H- 2500,20,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392632,290555,NULL,Wooden Pallet,4,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392633,290555,NULL,Wooden Frams,4,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392634,290556,NULL,Casting,43,7,NULL,1100,Fixed,NULL,NULL,NULL,NULL,NULL
392635,290557,NULL,Casting,1,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392636,290558,NULL,NUT RETAINER LOCK,2,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392637,290559,NULL,CASTING,2,7,NULL,65,Fixed,NULL,NULL,NULL,NULL,NULL
392638,290560,NULL,Casting,5,7,NULL,887,Fixed,NULL,NULL,NULL,NULL,NULL
392639,290561,NULL,Casting,37,3,NULL,639,Fixed,NULL,NULL,NULL,NULL,NULL
392640,290562,NULL,Shaft,5,7,NULL,380,Fixed,NULL,NULL,NULL,NULL,NULL
392641,290563,NULL,Wilo Mini Emperor,1,494,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392642,290564,NULL,Casting,31,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392643,290564,NULL,NULL,1,494,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392644,290565,NULL,Rheotec 310 / Rheotec Tad Gpi,51,529,NULL,1305,Fixed,NULL,NULL,NULL,NULL,NULL
392645,290566,NULL,Casting,50,7,NULL,1000,Fixed,NULL,NULL,NULL,NULL,NULL
392646,290567,NULL,Casting,36,7,NULL,400,Fixed,NULL,NULL,NULL,NULL,NULL
392647,290567,NULL,NULL,3,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392648,290568,NULL,Casting,130,7,NULL,200,Fixed,NULL,NULL,NULL,NULL,NULL
392649,290569,NULL,CASTING,20,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392650,290570,NULL,KEBAL BONDAL,30,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392651,290571,NULL,DISC CAST GK 40 NB,150,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392652,290571,NULL,DISC CAST GK 125 NB,15,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392653,290571,NULL,DISC CAST GK 150 NB,90,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392654,290571,NULL,DISC CAST GK 200 NB,40,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392655,290571,NULL,DISC CAST GK 65 NB,100,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392656,290571,NULL,DISC CAST GK 100 NB,50,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
