PlaceID,abbreviation,name
160,KALEWADI-BHOSARI-CHINCHWAD,KALEWADI-BHOSARI-CHINCHWAD
161,KALYAN,KALYAN
162,KAMERI,KAMERI
163,KAMTHADI,KAMTHADI
164,KAMTHED,KAMTHED
165,KANCHEEPURAM,KANCHEEPURAM
166,KANERI,KANERI
167,KANERIWADI,KANERIWADI
168,KAOLHAPUR,KAOLHAPUR
169,KAPARI,KAPARI
170,KAPROAL,KAPROAL
171,KAPURHOL,KAPURHOL
172,KARAD,KARAD
173,KARANDI,KARANDI
174,KARANJA,KARANJA
175,KARANJE,KARANJE
176,KARNATAKA,KARNATAKA
177,KARVE NAGAR,KARVE NAGAR
178,KARVE ROAD,KARVE ROAD
179,KARVIR,KARVIR
180,KASABA VADGAON,KASABA VADGAON
181,KASABE,KASABE
182,KASABE DIGRAJ,KASABE DIGRAJ
183,KASARWADI,KASARWADI
184,KASAT-AMBOLI,KASAT-AMBOLI
185,KASBA PETH,KASBA PETH
186,KASBA VADAGAON,KASBA VADAGAON
187,KASBE DIGRAJ,KASBE DIGRAJ
188,KASURDI,KASURDI
189,KATRAJ,KATRAJ
190,KAVADI PAAT,KAVADI PAAT
191,KAVALAPUR,KAVALAPUR
192,KAVATHE,KAVATHE
193,KELAWADE,KELAWADE
194,KEMPWAD,KEMPWAD
195,KENJAL,KENJAL
196,KESANAND AND SANASWADI,KESANAND AND SANASWADI
197,KESHNAND,KESHNAND
198,KESURDI,KESURDI
199,KETKAWALE,KETKAWALE
200,KHADAKWASLA,KHADAKWASLA
201,KHADKI,KHADKI
202,KHALAD,KHALAD
203,KHALEWADI,KHALEWADI
204,KHALUMBRE,KHALUMBRE
205,KHANAPUR,KHANAPUR
206,KHANDALA,KHANDALA
207,KHARABWADI,KHARABWADI
208,KHARADI,KHARADI
209,KHARBWADI,KHARBWADI
210,KHED,KHED
211,KHED-SHIVAPUR,KHED-SHIVAPUR
212,KHNDALA,KHNDALA
213,KHODSHI,KHODSHI
214,KHOLAPUR,KHOLAPUR
215,KINI GAON,KINI GAON
216,KINI WATHAR,KINI WATHAR
217,KIRLOSKARWADI,KIRLOSKARWADI
218,KIWALE,KIWALE
219,KOBADWADI,KOBADWADI
220,KODOLI,KODOLI
221,KOLHAPR,KOLHAPR
222,KOLHAPUR,KOLHAPUR
223,KOLHAPUR NAKA KARAD,KOLHAPUR NAKA KARAD
224,KOLKATTA,KOLKATTA
225,KOMBADWADI,KOMBADWADI
226,KOMDEWADI,KOMDEWADI
227,KONDHAPURI,KONDHAPURI
228,KOREGAON   ,KOREGAON   
229,KOREGAON BHIMA,KOREGAON BHIMA
230,KOREGON,KOREGON
231,KOROCHI,KOROCHI
232,KOTHRUD,KOTHRUD
233,KOTOLI,KOTOLI
234,KOTRUD,KOTRUD
235,KPLHAPUR,KPLHAPUR
236,KRLOSKARWADI,KRLOSKARWADI
237,KUDALWADI,KUDALWADI
238,KUMBHOJ,KUMBHOJ
239,KUNDAL,KUNDAL
240,KUNJIRWADI,KUNJIRWADI
241,KUNNUR,KUNNUR
242,KUPAWAD,KUPAWAD
243,KUPWADISHWAR,KUPWADISHWAR
244,KURKUMBH,KURKUMBH
245,KURULI,KURULI
246,KUSGAON,KUSGAON
247,KUSHIRE,KUSHIRE
248,LAXMIPURI,LAXMIPURI
249,LCHALKARANJI,LCHALKARANJI
250,LONAND,LONAND
251,LONI,LONI
252,LONI KALBHOR,LONI KALBHOR
253,LONIKAND,LONIKAND
254,MAAN,MAAN
255,MADHAVNAGAR,MADHAVNAGAR
256,MAGADEWADI,MAGADEWADI
257,MAHAD,MAHAD
258,MAHALUNGE,MAHALUNGE
259,MAHAVEERNAGAR,MAHAVEERNAGAR
260,MAHLUNGE KH,MAHLUNGE KH
261,MAHULI,MAHULI
262,MAJALE,MAJALE
263,"MAKWEAL IND,SATARA","MAKWEAL IND,SATARA"
264,MALKAPUR,MALKAPUR
265,MANCHAR,MANCHAR
266,MANGADEWADI,MANGADEWADI
267,MANIKBUAG,MANIKBUAG
268,MANJRI,MANJRI
269,MARALI,MARALI
270,MARKAL,MARKAL
271,MARKET YARD PUNE,MARKET YARD PUNE
272,MAUZE BHARE,MAUZE BHARE
273,MAVAL,MAVAL
274,MENON PESTON RING ,MENON PESTON RING 
275,MIDC LEGAL,MIDC LEGAL
276,MIRAJ,MIRAJ
277,MOLACHA ODHA-SATARA,MOLACHA ODHA-SATARA
278,MOSHI,MOSHI
279,MOUZE BHARE,MOUZE BHARE
280,MUDSHING,MUDSHING
281,MULSHI,MULSHI
282,MUMBAI,MUMBAI
283,MUNDHWA,MUNDHWA
284,MUNDHWA-WADKI,MUNDHWA-WADKI
285,MUSHI,MUSHI
286,MVLSHI,MVLSHI
287,NADED GAON,NADED GAON
288,NADED PHATA,NADED PHATA
289,NAGALA PARK,NAGALA PARK
290,NAGAON,NAGAON
291,NAGAON PHATA,NAGAON PHATA
292,NAGAR,NAGAR
293,NAGTHANE,NAGTHANE
294,NAHRE,NAHRE
295,NANA PETH,NANA PETH
296,NANDANI,NANDANI
297,NANDED GAON,NANDED GAON
298,NANDED PHATA,NANDED PHATA
299,NANDOSHI,NANDOSHI
300,NANDRE,NANDRE
301,NANEKARWADI ,NANEKARWADI 
302,NANOLI,NANOLI
303,NARAHE,NARAHE
304,NARANDE,NARANDE
305,NARAYAN PETH,NARAYAN PETH
306,NARAYANGOAN,NARAYANGOAN
307,NARHE,NARHE
308,NARSIGWADI,NARSIGWADI
309,NASIK,NASIK
310,NAV LAKH UMBRE,NAV LAKH UMBRE
311,NAVI MUMBAI,NAVI MUMBAI
312,NERLI,NERLI
313,NERLI TAMGAON,NERLI TAMGAON
314,NEW SANGVI,NEW SANGVI
315,NIGADI,NIGADI
316,NIGADIRE,NIGADIRE
317,NIGDI,NIGDI
318,NIMBALKARWADI,NIMBALKARWADI
319,NIPANI,NIPANI
320,OFFCE,OFFCE
321,OGALEWADI,OGALEWADI
322,ONDRI,ONDRI
323,P. D. L. C.,P. D. L. C.
324,PACHGAON,PACHGAON
325,PACHWAD PHATA,PACHWAD PHATA
326,PADMAVATI,PADMAVATI
327,PALUS,PALUS
328,PANDARE,PANDARE
329,PARGAON,PARGAON
330,PARITE,PARITE
331,PARVATI,PARVATI
332,PASHAN,PASHAN
333,PAUD,PAUD
334,PETH VADGAON,PETH VADGAON
335,PETHNAKA,PETHNAKA
336,PHURSUNGI,PHURSUNGI
337,PIMPLE GURAV,PIMPLE GURAV
338,PIMPLE-SAUDAGAR,PIMPLE-SAUDAGAR
339,PIMPRI,PIMPRI
340,PIMPRI - KALEWADI - CHINCHWAD,PIMPRI - KALEWADI - CHINCHWAD
341,PIRANGUT,PIRANGUT
342,PIRANGUT - HINJAWADI,PIRANGUT - HINJAWADI
343,PIRNGUT,PIRNGUT
344,PISOLI,PISOLI
345,PRATIBHANAGAR,PRATIBHANAGAR
346,PRIANGUT ,PRIANGUT 
347,PUNDI -TASGAON,PUNDI -TASGAON
348,PUNE,PUNE
349,PUNE CAMP,PUNE CAMP
350,PUNE PELROL PUMP,PUNE PELROL PUMP
351,PUNE STATION,PUNE STATION
352,RAHATANI PHATA,RAHATANI PHATA
353,RAIGAD,RAIGAD
354,RAJANGAON,RAJANGAON
355,RAJAPUR,RAJAPUR
356,RAJARAMPURI,RAJARAMPURI
357,RAJGURUNAGAR,RAJGURUNAGAR
358,RAMTEKDI,RAMTEKDI
359,RANJANGAON,RANJANGAON
360,RANJE,RANJE
361,RASTA PETH,RASTA PETH
362,RATNAGIRI,RATNAGIRI
363,RAVET,RAVET
364,RAVIWAR PETH,RAVIWAR PETH
365,RETHARE BUDRUK,RETHARE BUDRUK
366,ROHIT ENJ VELU,ROHIT ENJ VELU
367,RSNJANGAON,RSNJANGAON
368,RUKADI,RUKADI
369,RUPINAGAR,RUPINAGAR
370,SADASHIV PETH,SADASHIV PETH
371,SAGJI,SAGJI
372,SAHAKARNAGAR,SAHAKARNAGAR
373,SAIVAJINAGAR,SAIVAJINAGAR
374,SAKHARALE,SAKHARALE
375,SAMBHAJINAGAR,SAMBHAJINAGAR
376,SAMBHPUR,SAMBHPUR
377,SANASWADI,SANASWADI
378,SANDGEWADI,SANDGEWADI
379,SANGAWADE,SANGAWADE
380,SANGAWADEWADI,SANGAWADEWADI
381,SANGLI,SANGLI
382,SANGLIWADA,SANGLIWADA
383,SANGLIWADI,SANGLIWADI
384,SANSWADI,SANSWADI
385,SAROLE,SAROLE
386,SAROLE- KIKWI,SAROLE- KIKWI
387,SARTARA,SARTARA
388,SASANWADI,SASANWADI
389,SASEWADI,SASEWADI
390,SASWAD,SASWAD
391,SATAR ROAD,SATAR ROAD
392,SATARA,SATARA
393,SATARA ROAD,SATARA ROAD
394,SATAVNAGAR,SATAVNAGAR
