RouteBillID,billNo,date,branch,customer,totalFreight,ExtraFC,ExtraOverload,ExtraStation,TollTax,Commission,localFreight,Detention,Closed,remark,DueDate,EmployeeID,LastEdited,Type,BillType,RTO,FreightPart,Discount,ServiceTax,total,grandTotal,cgst,cgstPercent,sgst,sgstPercent
16977,312,2023-09-02 15:52:53.000,1,1284,17061,0,0,0,0,0,0,0,0,,2023-09-17 15:52:53.000,5,NULL,1,1,0,0,0,0,17061,0,0,0,0,0
16978,313,2023-09-02 18:31:07.000,1,1173,795,0,0,0,0,0,0,0,0,,2023-09-17 18:31:07.000,5,NULL,1,1,0,0,0,0,795,0,0,0,0,0
16979,314,2023-09-02 16:24:36.000,1,8019,1720,0,0,0,0,0,0,0,0,,2023-09-17 16:24:36.000,5,NULL,1,1,0,0,0,0,1720,0,0,0,0,0
16980,315,2023-09-02 16:25:26.000,1,2808,1360,0,0,0,0,0,0,0,0,,2023-09-17 16:25:26.000,5,NULL,1,1,0,0,0,0,1360,0,0,0,0,0
16981,316,2023-09-02 16:26:03.000,1,29938,1310,0,0,0,0,0,0,0,0,,2023-09-17 16:26:03.000,5,NULL,1,1,0,0,0,0,1310,0,0,0,0,0
16982,317,2023-09-02 16:27:22.000,1,5523,2020,0,0,0,0,0,0,0,0,,2023-09-17 16:27:22.000,5,NULL,1,1,0,0,0,0,2020,0,0,0,0,0
16983,318,2023-09-02 16:28:19.000,1,150,1125,0,0,0,0,0,0,0,0,,2023-09-17 16:28:19.000,5,NULL,1,1,0,0,0,0,1125,0,0,0,0,0
16984,319,2023-09-02 16:29:08.000,1,2688,500,0,0,0,0,0,0,0,0,,2023-09-17 16:29:08.000,5,NULL,1,1,0,0,0,0,500,0,0,0,0,0
16985,320,2023-09-02 16:29:53.000,1,45050,680,0,0,0,0,0,0,0,0,,2023-09-17 16:29:53.000,5,NULL,1,1,0,0,0,0,680,0,0,0,0,0
16986,321,2023-09-02 16:01:01.000,1,47741,1529,0,0,0,0,0,0,0,0,,2023-09-17 16:01:01.000,5,NULL,1,1,0,0,0,0,1529,0,0,0,0,0
16987,322,2023-09-02 16:31:52.000,1,48064,1960,0,0,0,0,0,0,0,0,,2023-09-17 16:31:52.000,5,NULL,1,1,0,0,0,0,1960,0,0,0,0,0
16988,323,2023-09-02 16:32:24.000,1,2962,3390,0,0,0,0,0,0,0,0,,2023-09-17 16:32:24.000,5,NULL,1,1,0,0,0,0,3390,0,0,0,0,0
16989,324,2023-09-02 16:32:58.000,1,2957,5020,0,0,0,0,0,0,0,0,,2023-09-17 16:32:58.000,5,NULL,1,1,0,0,0,0,5020,0,0,0,0,0
16990,325,2023-09-02 16:34:05.000,1,147,1540,0,0,0,0,0,0,0,0,,2023-09-17 16:34:05.000,5,NULL,1,1,0,0,0,0,1540,0,0,0,0,0
16991,326,2023-09-02 16:34:37.000,1,5640,730,0,0,0,0,0,0,0,0,,2023-09-17 16:34:37.000,5,NULL,1,1,0,0,0,0,730,0,0,0,0,0
16992,327,2023-09-02 16:35:08.000,1,8867,4860,0,0,0,0,0,0,0,0,,2023-09-17 16:35:08.000,5,NULL,1,1,0,0,0,0,4860,0,0,0,0,0
16993,328,2023-09-02 16:36:15.000,1,1245,18355,0,0,0,0,0,0,0,0,,2023-09-17 16:36:15.000,5,NULL,1,1,0,0,0,0,18355,0,0,0,0,0
16994,329,2023-09-02 16:37:17.000,1,23862,18190,0,0,0,0,0,0,0,0,,2023-09-17 16:37:17.000,5,NULL,1,1,0,0,0,0,18190,0,0,0,0,0
16995,330,2023-09-02 16:38:09.000,1,1183,5248,0,0,0,0,0,0,0,0,,2023-09-17 16:38:09.000,5,NULL,1,1,0,0,0,0,5248,0,0,0,0,0
16996,331,2023-09-02 16:38:56.000,1,2820,4416,0,0,0,0,0,0,0,0,,2023-09-17 16:38:56.000,5,NULL,1,1,0,0,0,0,4416,0,0,0,0,0
16997,332,2023-09-02 16:39:34.000,1,115,2120,0,0,0,0,0,0,0,0,,2023-09-17 16:39:34.000,5,NULL,1,1,0,0,0,0,2120,0,0,0,0,0
16998,333,2023-09-02 16:40:14.000,1,41885,1340,0,0,0,0,0,0,0,0,,2023-09-17 16:40:14.000,5,NULL,1,1,0,0,0,0,1340,0,0,0,0,0
16999,334,2023-09-02 16:40:49.000,1,34124,3680,0,0,0,0,0,0,0,0,,2023-09-17 16:40:49.000,5,NULL,1,1,0,0,0,0,3680,0,0,0,0,0
17000,335,2023-09-02 16:41:22.000,1,6730,8470,0,0,0,0,0,0,0,0,,2023-09-17 16:41:22.000,5,NULL,1,1,0,0,0,0,8470,0,0,0,0,0
17001,336,2023-09-02 16:41:58.000,1,50476,5260,0,0,0,0,0,0,0,0,,2023-09-17 16:41:58.000,5,NULL,1,1,0,0,0,0,5260,0,0,0,0,0
17002,337,2023-09-02 16:42:38.000,1,49795,64,0,0,0,0,0,0,0,0,,2023-09-17 16:42:38.000,5,NULL,1,1,0,0,0,0,64,0,0,0,0,0
17003,338,2023-09-02 16:43:49.000,1,1394,23249,0,0,0,0,0,0,0,0,,2023-09-17 16:43:49.000,5,NULL,1,1,0,0,0,0,23249,0,0,0,0,0
17004,339,2023-09-02 16:45:30.000,1,1187,17285,0,0,0,0,0,0,0,0,,2023-09-17 16:45:30.000,5,NULL,1,1,0,0,0,0,17285,0,0,0,0,0
17005,340,2023-09-02 16:41:59.000,1,42637,11720,0,0,0,0,0,0,0,0,,2023-09-17 16:41:59.000,7,NULL,1,1,0,0,0,0,11720,0,0,0,0,0
17006,341,2023-09-02 16:48:09.000,1,1279,9500,0,0,0,0,0,0,0,0,,2023-09-17 16:48:09.000,5,NULL,1,1,0,0,0,0,9500,0,0,0,0,0
17007,342,2023-09-02 16:49:23.000,1,5245,15799,0,0,0,0,0,0,0,0,,2023-09-17 16:49:23.000,5,NULL,1,1,0,0,0,0,15799,0,0,0,0,0
17008,343,2023-09-02 16:50:35.000,1,113,43475,0,0,0,0,0,0,0,0,,2023-09-17 16:50:35.000,5,NULL,1,1,0,0,0,0,43475,0,0,0,0,0
17009,344,2023-09-02 16:52:31.000,1,15186,37800,0,0,0,0,0,0,0,0,,2023-09-17 16:52:32.000,5,NULL,1,1,0,0,0,0,37800,0,0,0,0,0
17010,345,2023-09-02 16:57:43.000,1,1241,108558,0,0,0,0,0,0,0,0,,2023-09-17 16:57:43.000,5,NULL,1,1,0,0,0,0,108558,0,0,0,0,0
17011,346,2023-09-02 16:59:44.000,1,111,126219,0,0,0,0,0,0,0,0,,2023-09-19 16:59:44.000,5,NULL,1,1,0,0,0,0,126219,0,0,0,0,0
17012,347,2023-09-02 18:20:38.000,1,1309,94545,0,0,0,0,0,0,0,0,,2023-09-19 18:20:38.000,5,NULL,1,1,0,0,0,0,94545,0,0,0,0,0
17013,348,2023-09-14 13:55:20.000,1,1218,740,0,0,0,0,0,0,0,0,,2023-09-29 13:55:20.000,5,NULL,1,1,0,0,0,0,740,0,0,0,0,0
17016,137,2023-10-02 14:45:41.000,3,42224,73308,0,0,0,0,0,0,0,0,,2023-10-17 14:45:41.000,8,NULL,1,1,0,0,0,0,73308,0,0,0,0,0
17017,138,2023-10-02 15:21:48.000,3,16469,32735,0,0,0,0,0,0,0,0,,2023-10-17 15:21:48.000,8,NULL,1,1,0,0,0,0,32735,0,0,0,0,0
17018,139,2023-10-02 14:33:06.000,3,5417,49201,0,0,0,0,0,0,0,0,,2023-10-17 14:33:06.000,8,NULL,1,1,0,0,0,0,49201,0,0,0,0,0
17019,140,2023-10-02 13:29:03.000,3,36437,10415,0,0,0,0,0,0,0,0,,2023-10-17 13:29:03.000,8,NULL,1,1,0,0,0,0,10415,0,0,0,0,0
17020,141,2023-10-02 13:10:46.000,3,153,6990,0,0,0,0,0,0,0,0,,2023-10-17 13:10:46.000,8,NULL,1,1,0,0,0,0,6990,0,0,0,0,0
17021,142,2023-10-02 12:39:33.000,3,8103,4635,0,0,0,0,0,0,0,0,,2023-10-17 12:39:33.000,8,NULL,1,1,0,0,0,0,4635,0,0,0,0,0
17022,143,2023-10-02 17:37:45.000,3,140,9750,0,0,0,0,0,0,0,0,,2023-10-17 17:37:45.000,8,NULL,1,1,0,0,0,0,9750,0,0,0,0,0
17023,144,2023-10-02 13:11:24.000,3,8087,1740,0,0,0,0,0,0,0,0,,2023-10-17 13:11:24.000,8,NULL,1,1,0,0,0,0,1740,0,0,0,0,0
17024,145,2023-10-02 15:28:57.000,3,50068,1925,0,0,0,0,0,0,0,0,,2023-10-17 15:28:57.000,8,NULL,1,1,0,0,0,0,1925,0,0,0,0,0
17025,146,2023-10-02 12:46:51.000,3,9779,3610,0,0,0,0,0,0,0,0,,2023-10-17 12:46:51.000,8,NULL,1,1,0,0,0,0,3610,0,0,0,0,0
17026,147,2023-10-02 15:54:38.000,3,5258,18916,0,0,0,0,0,0,0,0,,2023-10-17 15:54:38.000,8,NULL,1,1,0,0,0,0,18916,0,0,0,0,0
17027,148,2023-10-02 13:44:44.000,3,20027,53597,0,0,0,0,0,0,0,0,,2023-10-17 13:44:44.000,8,NULL,1,1,0,0,0,0,53597,0,0,0,0,0
17028,149,2023-10-02 13:27:06.000,3,18621,12830,0,0,0,0,0,0,0,0,,2023-10-17 13:27:06.000,8,NULL,1,1,0,0,0,0,12830,0,0,0,0,0
17029,150,2023-10-02 13:13:32.000,3,42571,4395,0,0,0,0,0,0,0,0,,2023-10-17 13:13:32.000,8,NULL,1,1,0,0,0,0,4395,0,0,0,0,0
17030,151,2023-10-02 14:24:48.000,3,24096,2290,0,0,0,0,0,0,0,0,,2023-10-17 14:24:48.000,8,NULL,1,1,0,0,0,0,2290,0,0,0,0,0
17031,349,2023-10-04 17:35:26.000,1,5348,151892,0,0,0,0,0,0,0,0,,2023-10-19 17:35:26.000,5,NULL,1,1,0,0,0,0,151892,0,0,0,0,0
17033,350,2023-09-16 13:40:12.000,1,1241,113227,0,0,0,0,0,0,0,0,,2023-10-20 13:40:12.000,2,NULL,1,1,0,0,0,0,113227,0,0,0,0,0
17034,351,2023-10-05 13:58:07.000,1,2856,22320,0,0,0,0,0,0,0,0,,2023-10-20 13:58:07.000,2,NULL,1,1,0,0,0,0,22320,0,0,0,0,0
17035,352,2023-10-05 17:30:05.000,1,30974,12840,0,0,0,0,0,0,0,0,,2023-10-20 17:30:05.000,5,NULL,1,1,0,0,0,0,12840,0,0,0,0,0
