PackageID,name,description,Returnable,Rate
382,Small Box,NULL,NULL
383,Carton Boxes Big,NULL,NULL
384,C BOXES,NULL,NULL
385,Fieal,NULL,NULL
386,Radiography Packet,NULL,NULL
387,Wooden Box Small,NULL,NULL
388,Nno,NULL,NULL
389,Nose,NULL,NULL
390,Shaft Nos,NULL,NULL
391,Bodh,NULL,NULL
392,Fil Packet,NULL,NULL
393,Wooden Pallets,NULL,NULL
394,Big Pallet,NULL,NULL
395,Disc,NULL,NULL
396,Body,NULL,NULL
397,Cartoon Box,NULL,NULL
398,Poly Bag,NULL,NULL
399,Lnos,NULL,NULL
400,Empty Ibl Tank,NULL,NULL
401,Bgs,NULL,NULL
402,Wooden Peti Long,NULL,NULL
403,Set Ring,NULL,NULL
404,Boxes Mt,NULL,NULL
405,Bundle Broach,NULL,NULL
406,PACKET RT FIRMES,NULL,NULL
407,PACKET RT COVER,NULL,NULL
408,Rt Films Packet,NULL,NULL
409,Putta,NULL,NULL
410,Wooden Boxes Long,NULL,NULL
411,M T Boxes,NULL,NULL
412,Small Bucket,NULL,NULL
413,Cartoon Box Big,NULL,NULL
414,Taey Box,NULL,NULL
415,IBC MT TANK,NULL,NULL
416,Bubble Bundle,NULL,NULL
417,Iron Powder,NULL,NULL
418,Pocket,NULL,NULL
419,Carton Boxe,NULL,NULL
420,Nos Loose,NULL,NULL
421,Flux,NULL,NULL
422,Bottols,NULL,NULL
423,Bkts,NULL,NULL
424,Bauckets,NULL,NULL
425,Plastic Bag,NULL,NULL
426,Corrugated Box,NULL,NULL
427,Gears,NULL,NULL
428,Wooden Box Long,NULL,NULL
429,W Boxes,NULL,NULL
430,Packet Rt Film,NULL,NULL
431,Pallet R T,NULL,NULL
432,Packet R T,NULL,NULL
433,Cred,NULL,NULL
434,Metal,NULL,NULL
435,Packge,NULL,NULL
436,Bucuket,NULL,NULL
437,Woode Boxes,NULL,NULL
438,Big Cartoon Boxes,NULL,NULL
439,Big Bandals,NULL,NULL
440,Baarels,NULL,NULL
441,C Box,NULL,NULL
442,Big Woodenboxes,NULL,NULL
443,Long Box,NULL,NULL
444,Box Kapadi,NULL,NULL
445,Plstic Bag,NULL,NULL
446,Iron Box Big,NULL,NULL
447,Losse Nos,NULL,NULL
448,File,NULL,NULL
449,Bascket,NULL,NULL
450,Pc,NULL,NULL
451,Small Pallet,NULL,NULL
452,Basket,NULL,NULL
453,Files,NULL,NULL
454,Pattern Plate,NULL,NULL
455,W/peti,NULL,NULL
456,Fieal Report,NULL,NULL
457,Roll Bag,NULL,NULL
458,NOS BASE PALATE ,NULL,NULL
459,NOS BASE FRAME,NULL,NULL
460,Loos Patter ,NULL,NULL
461,Patterns,NULL,NULL
462,IBC TANK,NULL,NULL
463,Loos ,NULL,NULL
464,Roll Box,NULL,NULL
465,Envolope,NULL,NULL
466,Baskets,NULL,NULL
467,W /PALLATE,NULL,NULL
468,Cartage Box,NULL,NULL
469,Base F,NULL,NULL
470,CAP,NULL,NULL
471,Base ,NULL,NULL
472,FEED,NULL,NULL
473,Losse Scrab,NULL,NULL
474,Losse Scrap,NULL,NULL
475,Cartoon Boxes Big,NULL,NULL
476,Bog Wooden Box,NULL,NULL
477,Bog C/ Boxes,NULL,NULL
478,C/ Boxes Big,NULL,NULL
479,Bundlas,NULL,NULL
480,Report File,NULL,NULL
481,Boes,NULL,NULL
482,GEAR BOX,NULL,NULL
483,WHEEL,NULL,NULL
484,Dbms,NULL,NULL
485,Baarel,NULL,NULL
486,Tms,NULL,NULL
487,Tryas,NULL,NULL
488,Bucets,NULL,NULL
489,Machin,NULL,NULL
490,OXES,NULL,NULL
491,Nsoa,NULL,NULL
492,Nois,NULL,NULL
493,Drumas,NULL,NULL
494,W / Box,NULL,NULL
495,FREMS,NULL,NULL
496,C/boxes,NULL,NULL
497,Disk,NULL,NULL
498,Buckes,NULL,NULL
499,C/BUNDAL,NULL,NULL
500,Paper,NULL,NULL
501,Big Bundal,NULL,NULL
502,Pails,NULL,NULL
503,Bag Bundles,NULL,NULL
504,Plastic Bundles,NULL,NULL
505,Frames,NULL,NULL
506,Nios,NULL,NULL
507,Core Boxe,NULL,NULL
508,Big Bundals,NULL,NULL
509,Bixes,NULL,NULL
510,STRECH ,NULL,NULL
511,BIG PACKAGE,NULL,NULL
512,Losse Pattern ,NULL,NULL
513,Canopy,NULL,NULL
514,MS Net Pallet,NULL,NULL
515,M/S Net Pallet,NULL,NULL
516,JALI ,NULL,NULL
517,Flie,NULL,NULL
518,FREM,NULL,NULL
519,Book,NULL,NULL
520,STAND,NULL,NULL
521,Losse Set,NULL,NULL
522,DUM,NULL,NULL
523,MATCH PLATE,NULL,NULL
524,GAUGE,NULL,NULL
525,Big Pallets,NULL,NULL
526,Small Pallets,NULL,NULL
527,Bike,NULL,NULL
528,PATTI,NULL,NULL
529,Bucukets,NULL,NULL
530,Pouch,NULL,NULL
531,Looding ,NULL,NULL
532,W/ Board,NULL,NULL
533,Wood Box,NULL,NULL
1533,FREAM,NULL,NULL
1534,Nogs,NULL,NULL
1535,Palst Bag,NULL,NULL
1536,Bagees,NULL,NULL
1537,B,NULL,NULL
2535,Set Loose,NULL,NULL
2536,Bangs,NULL,NULL
2537,SLEEVE TRAY,NULL,NULL
2538,Bukxet ,NULL,NULL
2539,Loosess,NULL,NULL
2540,W/boxes,NULL,NULL
2541,Crate,NULL,NULL
2542,Big Bundle,NULL,NULL
2543,RUBBER,NULL,NULL
2544,Bges,NULL,NULL
2545,M T W/ Boxes,NULL,NULL
2546,Small Bundals,NULL,NULL
2547,Empty Pallet,NULL,NULL
2548,Try ,NULL,NULL
2549,Dycote,NULL,NULL
2550,Feepex,NULL,NULL
2551,Bacets,NULL,NULL
2552,Plug,NULL,NULL
2553,Empty W/box,NULL,NULL
2554,Loose Pattern,NULL,NULL
2555,MTR,NULL,NULL
2556,Mis,NULL,NULL
2557,CR JOB,NULL,NULL
2558,CI BODY,NULL,NULL
2559,Nug,NULL,NULL
2560,Nus,NULL,NULL
2561,BOXEES,NULL,NULL
2562,Tarsy,NULL,NULL
2563,DRTAMS,NULL,NULL
2564,Bareel,NULL,NULL
2565,Rank,NULL,NULL
2566,Rack,NULL,NULL
2567,COPER PIPR,NULL,NULL
2568,TERY,NULL,NULL
2569,Distributor Casing,NULL,NULL
2570,NET,NULL,NULL
2571,Ms Plate,NULL,NULL
2572,Looswe,NULL,NULL
2573,W / Boxs,NULL,NULL
2574,Loose Bags,NULL,NULL
2575,Choues,NULL,NULL
2576,Puffer,NULL,NULL
2577,Car Boxes,NULL,NULL
2578,FARME,NULL,NULL
2579,Barel,NULL,NULL
2580,Wooden Boxs,NULL,NULL
2581,Lloose,NULL,NULL
2582,Druns,NULL,NULL
2583,PALLATE,NULL,NULL
2584,Bareal,NULL,NULL
2585,C/ Box,NULL,NULL
2586,Pieces,NULL,NULL
2587,Pcs,NULL,NULL
2588,Gages Box,NULL,NULL
2589,Bondal,NULL,NULL
2590,BLUE BOX,NULL,NULL
2591,DISTRIBUT CASING,NULL,NULL
2592,Loose Bundals,NULL,NULL
2593,Roler,NULL,NULL
2594,Packett,NULL,NULL
2595,Roud Piep,NULL,NULL
2596,Round Pipe,NULL,NULL
2597,Bobal,NULL,NULL
2598,Buble,NULL,NULL
2599,Boxdes,NULL,NULL
2600,W Pallet,NULL,NULL
2601,BIG W/ Box,NULL,NULL
2602,Bumddles,NULL,NULL
2603,Lose,NULL,NULL
2604,Louse Nag,NULL,NULL
2605,Big Wooden Box,NULL,NULL
2606,B Box,NULL,NULL
2607,Barral,NULL,NULL
2608,Trolly,NULL,NULL
2609,W / PALLET,NULL,NULL
2610,Set Nos,NULL,NULL
2611,Bandel,NULL,NULL
2612,SLEEVES,NULL,NULL
2613,Bunadales,NULL,NULL
2614,Bgaes,NULL,NULL
2615,SLAX,NULL,NULL
2616,Bages Casting ,NULL,NULL
2617,Packer,NULL,NULL
2618,Big W/box,NULL,NULL
2619,BPX,NULL,NULL
2620,Small Boxes,NULL,NULL
2621,Buktes,NULL,NULL
2622,W/petti,NULL,NULL
2623,Tie Bar,NULL,NULL
2624,Bandlas,NULL,NULL
2625,BANDLES,NULL,NULL
