ConsignID,lrNo,date,branch,invoiceNo,deliveryType,vehicleNo,consignor,consignorAddress,from,consignee,consigneeAddress,to,deliveryAt,deliveryAddress,deliveryCity,BranchDelivery,DeliveryBranch,materialCost,totalFreight,hamali,osc,deliveryCharges,otherCharges,statistical,deliveryInDays,PANNo,serviceTaxBy,FreightPayType,payMode,bankName,chequeNo,chequeDate,toBilled,collectAt,remark,eWayBillNo,EmployeeID,updatedBy
290051,23,02-04-2024,1,"120, 119",Door,77,22392,"Sayali, G-3/24, Indira Park, Chinchwad, Pune- 411033GST NO: 27AKYPS6990H1ZZ",8,8309,"Plot No. E-25, M. I. D. C. Gokul Shirgaon, Kolhapur- 416234GST NO.27AABCD3568L1ZC",23,NULL,,NULL,0,NULL,387512,0,0,0,0,0,0,1,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,2,1,"E Way Bill No: 261743815012, 221743817834",1,NULL,,,,,,,,,,,,,,,,,,,
290052,24,02-04-2024,1,130996,Door,2766,73,"Sr. No.145, Pune-Saswad Road, Near Railway Overbridge, Phursungi, Pune-412308GST NO.27AAJCS7144M1ZR",46,22411,"Plot No.2/2a, MIDC Shiroli, Kolhapur-416122GAT NO:27AAYFR5743H1ZH",21,NULL,,NULL,0,NULL,24355,0,0,0,0,0,25,1,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,2,1,Modvat Copy Cover Atteched,1,NULL,,,,,,,,,,,,,,,,,,,
290053,25,02-04-2024,1,130995,Door,2766,73,"Sr. No.145, Pune-Saswad Road, Near Railway Overbridge, Phursungi, Pune-412308GST NO.27AAJCS7144M1ZR",46,3598,"Plot No. C-25, M. I. D. C. Shiroli, Kolhapur-416122GST NO. 27AAECS1923P1ZZ",21,NULL,,NULL,0,NULL,18880,0,0,0,0,0,25,1,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,2,1,Modvat Copy Cover Atteched,1,NULL,,,,,,,,,,,,,,,,,,,
290054,26,02-04-2024,1,130994,Door,2766,73,"Sr. No.145, Pune-Saswad Road, Near Railway Overbridge, Phursungi, Pune-412308GST NO.27AAJCS7144M1ZR",46,2322,"F-40, M I D C, Gokul Shirgoan KolhapurGST NO. 27AACFA4118R1Z8",23,NULL,,NULL,0,NULL,11918,250,10,0,200,0,25,1,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,2,1,Modvat Copy Cover Atteched,1,55:37.4,,,,,,,,,,,,,,,,,,,
290055,27,02-04-2024,1,130971,Door,2766,73,"Sr. No.145, Pune-Saswad Road, Near Railway Overbridge, Phursungi, Pune-412308GST NO.27AAJCS7144M1ZR",46,2847,"Plot No. C-4, Five Star M. I. D. C. Kagal, Tal. Hatkanangale, Kolhapur- 416216GST No:27AAFCA1965L1ZG",51,NULL,,NULL,0,NULL,70776,4000,125,0,300,0,25,1,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,2,1,Modvat Copy Cover Atteched,1,08:39.0,,,,,,,,,,,,,,,,,,,
290056,28,02-04-2024,1,10,Door,2789,12653,"GUT NO.485, VISION INDL. ESTATE, GAUDDARA RAOD, SHRIRAMNAGAR,A/P KHEDSHIVAPUR TAL.BHOR DIST.PUNEGST NO.27AAGFE5270L1Z5",224,6871,"Plot No. K-1, ADDL. M. I. D. C. SataraGST NO. 27AABCM0781G1ZL",17,NULL,,NULL,0,NULL,8924,0,0,0,0,0,25,1,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,2,1,Modvat Copy Cover Atteched,1,NULL,,,,,,,,,,,,,,,,,,,
290057,29,02-04-2024,1,26016,Door,9278,6,"264, Hadapsar Industrial Estaste, Hadapsar, Pune-411013GST NO.27AAEFA6352P1Z2",120,2223,"Zagalwadi Phata, Jawale Road, Village Sanghavi, Post Naigaon, Shirwal, Dist. Satara.GST NO. 27AABCP0318G1ZT",9,NULL,,NULL,0,NULL,8673,0,0,0,0,0,25,1,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,2,1,Modvat Copy Cover Atteched,1,NULL,,,,,,,,,,,,,,,,,,,
290058,30,02-04-2024,1,26017,Door,9278,6,"264, Hadapsar Industrial Estaste, Hadapsar, Pune-411013GST NO.27AAEFA6352P1Z2",120,18579,"Plot No. E-2, MIDC Kupwad Sangali-416436GST NO:27AALCM9701G1Z9",384,NULL,,NULL,0,NULL,14687,1610,57,0,0,0,25,1,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,2,1,Modvat Copy Cover Atteched,1,35:15.3,,,,,,,,,,,,,,,,,,,
290059,31,02-04-2024,1,"26018, 26019, 26020",Door,9278,6,"264, Hadapsar Industrial Estaste, Hadapsar, Pune-411013GST NO.27AAEFA6352P1Z2",120,3809,"Plot No. D-31, M. I. D. C. Shiroli, KolhapurGST NO. 27AACCS4897G1ZX",21,NULL,,NULL,0,NULL,40376,0,0,0,0,0,25,1,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,2,1,Modvat Copy Cover Atteched,1,NULL,,,,,,,,,,,,,,,,,,,
290060,32,02-04-2024,1,"T23248288, T24258502, T24258503",Door,9278,1562,"Gat No, 994/1,sanaswadi,pune GST NO- 27AADCT2637A1ZP",15,6871,"Plot No. K-1, ADDL. M. I. D. C. SataraGST NO. 27AABCM0781G1ZL",17,NULL,,NULL,0,NULL,88451,0,0,0,0,0,25,1,AAEFD5950A,NULL,3,NULL,NULL,NULL,NULL,2,1,Modvat Copy Cover Atteched,1,NULL,,,,,,,,,,,,,,,,,,,
